ACC:-998,-585,16515;GYRO:-174,-397,-228;
ACC:-995,-581,16517;GYRO:-173,-398,-227;
ACC:-993,-578,16517;GYRO:-173,-399,-226;
ACC:-991,-575,16519;GYRO:-173,-400,-226;
ACC:-989,-572,16521;GYRO:-173,-400,-225;
ACC:-987,-570,16524;GYRO:-172,-400,-225;
ACC:-986,-569,16531;GYRO:-172,-401,-226;
ACC:-986,-568,16536;GYRO:-171,-401,-227;
ACC:-984,-566,16540;GYRO:-171,-401,-228;
ACC:-984,-564,16540;GYRO:-170,-402,-229;
ACC:-986,-561,16537;GYRO:-170,-402,-229;
ACC:-992,-559,16541;GYRO:-170,-403,-230;
ACC:-996,-558,16545;GYRO:-171,-403,-231;
ACC:-998,-557,16552;GYRO:-171,-404,-231;
ACC:-1000,-557,16556;GYRO:-171,-404,-230;
ACC:-1002,-558,16558;GYRO:-172,-405,-230;
ACC:-1002,-557,16558;GYRO:-172,-405,-230;
ACC:-1007,-558,16558;GYRO:-173,-406,-231;
ACC:-1012,-563,16556;GYRO:-174,-406,-231;
ACC:-1015,-568,16559;GYRO:-175,-406,-231;
ACC:-1017,-570,16560;GYRO:-176,-406,-231;
ACC:-1013,-575,16558;GYRO:-177,-405,-231;
ACC:-1011,-579,16554;GYRO:-177,-404,-231;
ACC:-1012,-579,16548;GYRO:-178,-403,-232;
ACC:-1011,-579,16545;GYRO:-177,-403,-233;
ACC:-1010,-578,16544;GYRO:-178,-403,-233;
ACC:-1010,-579,16540;GYRO:-179,-402,-234;
ACC:-1007,-579,16536;GYRO:-179,-402,-234;
ACC:-1005,-577,16532;GYRO:-180,-402,-235;
ACC:-1003,-574,16527;GYRO:-180,-401,-235;
ACC:-1000,-574,16524;GYRO:-181,-401,-236;
ACC:-1001,-572,16521;GYRO:-182,-401,-237;
ACC:-999,-569,16522;GYRO:-182,-401,-238;
ACC:-995,-571,16520;GYRO:-183,-401,-240;
ACC:-992,-570,16517;GYRO:-184,-401,-241;
ACC:-990,-570,16514;GYRO:-184,-402,-242;
ACC:-989,-569,16513;GYRO:-183,-402,-243;
